"forbrukergruppe";"år";"Forbruk i alt"
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1996";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1997";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1998";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1999";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2000";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2001";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2002";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2003";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2004";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2005";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2006";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2007";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2008";311
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2009";349
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2010";406
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2011";360
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2012";381
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2013";530
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2014";505
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2015";550
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2016";690
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2017";661
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2018";650
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2019";662
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2020";584
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2021";633
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2022";689
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2023";854
"Fjernvarme";"1993";194
"Fjernvarme";"1994";205
"Fjernvarme";"1995";209
"Fjernvarme";"1996";154
"Fjernvarme";"1997";234
"Fjernvarme";"1998";228
"Fjernvarme";"1999";244
"Fjernvarme";"2000";314
"Fjernvarme";"2001";169
"Fjernvarme";"2002";173
"Fjernvarme";"2003";87
"Fjernvarme";"2004";631
"Fjernvarme";"2005";665
"Fjernvarme";"2006";651
"Fjernvarme";"2007";748
"Fjernvarme";"2008";831
"Fjernvarme";"2009";1014
"Fjernvarme";"2010";952
"Fjernvarme";"2011";834
"Fjernvarme";"2012";1086
"Fjernvarme";"2013";1123
"Fjernvarme";"2014";1015
"Fjernvarme";"2015";1001
"Fjernvarme";"2016";1158
"Fjernvarme";"2017";1104
"Fjernvarme";"2018";1102
"Fjernvarme";"2019";1031
"Fjernvarme";"2020";1147
"Fjernvarme";"2021";1199
"Fjernvarme";"2022";913
"Fjernvarme";"2023";1247
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1993";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1994";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1995";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1996";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1997";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1998";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1999";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2000";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2001";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2002";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2003";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2004";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2005";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2006";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2007";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2008";373
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2009";474
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2010";522
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2011";559
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2012";561
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2013";571
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2014";575
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2015";561
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2016";612
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2017";600
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2018";663
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2019";675
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2020";759
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2021";762
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2022";739
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2023";758
"TRANSPORT OG LAGRING";"1993";1780
"TRANSPORT OG LAGRING";"1994";1749
"TRANSPORT OG LAGRING";"1995";1888
"TRANSPORT OG LAGRING";"1996";1863
"TRANSPORT OG LAGRING";"1997";1710
"TRANSPORT OG LAGRING";"1998";1758
"TRANSPORT OG LAGRING";"1999";1735
"TRANSPORT OG LAGRING";"2000";1818
"TRANSPORT OG LAGRING";"2001";1930
"TRANSPORT OG LAGRING";"2002";1987
"TRANSPORT OG LAGRING";"2003";1871
"TRANSPORT OG LAGRING";"2004";1469
"TRANSPORT OG LAGRING";"2005";1749
"TRANSPORT OG LAGRING";"2006";1892
"TRANSPORT OG LAGRING";"2007";1852
"TRANSPORT OG LAGRING";"2008";1607
"TRANSPORT OG LAGRING";"2009";1662
"TRANSPORT OG LAGRING";"2010";1754
"TRANSPORT OG LAGRING";"2011";1647
"TRANSPORT OG LAGRING";"2012";1702
"TRANSPORT OG LAGRING";"2013";1689
"TRANSPORT OG LAGRING";"2014";1659
"TRANSPORT OG LAGRING";"2015";1792
"TRANSPORT OG LAGRING";"2016";1817
"TRANSPORT OG LAGRING";"2017";1875
"TRANSPORT OG LAGRING";"2018";1858
"TRANSPORT OG LAGRING";"2019";1831
"TRANSPORT OG LAGRING";"2020";2156
"TRANSPORT OG LAGRING";"2021";2298
"TRANSPORT OG LAGRING";"2022";2329
"TRANSPORT OG LAGRING";"2023";2296
"Jernbane, sporveis- og forstadsbane";"1993";..
"Jernbane, sporveis- og forstadsbane";"1994";..
"Jernbane, sporveis- og forstadsbane";"1995";..
"Jernbane, sporveis- og forstadsbane";"1996";..
"Jernbane, sporveis- og forstadsbane";"1997";..
"Jernbane, sporveis- og forstadsbane";"1998";..
"Jernbane, sporveis- og forstadsbane";"1999";..
"Jernbane, sporveis- og forstadsbane";"2000";..
"Jernbane, sporveis- og forstadsbane";"2001";..
"Jernbane, sporveis- og forstadsbane";"2002";..
"Jernbane, sporveis- og forstadsbane";"2003";..
"Jernbane, sporveis- og forstadsbane";"2004";..
"Jernbane, sporveis- og forstadsbane";"2005";..
"Jernbane, sporveis- og forstadsbane";"2006";..
"Jernbane, sporveis- og forstadsbane";"2007";..
"Jernbane, sporveis- og forstadsbane";"2008";542
"Jernbane, sporveis- og forstadsbane";"2009";564
"Jernbane, sporveis- og forstadsbane";"2010";576
"Jernbane, sporveis- og forstadsbane";"2011";543
"Jernbane, sporveis- og forstadsbane";"2012";607
"Jernbane, sporveis- og forstadsbane";"2013";601
"Jernbane, sporveis- og forstadsbane";"2014";596
"Jernbane, sporveis- og forstadsbane";"2015";641
"Jernbane, sporveis- og forstadsbane";"2016";589
"Jernbane, sporveis- og forstadsbane";"2017";640
"Jernbane, sporveis- og forstadsbane";"2018";573
"Jernbane, sporveis- og forstadsbane";"2019";568
"Jernbane, sporveis- og forstadsbane";"2020";843
"Jernbane, sporveis- og forstadsbane";"2021";878
"Jernbane, sporveis- og forstadsbane";"2022";910
"Jernbane, sporveis- og forstadsbane";"2023";817
"Annen transport og lagring";"1993";..
"Annen transport og lagring";"1994";..
"Annen transport og lagring";"1995";..
"Annen transport og lagring";"1996";..
"Annen transport og lagring";"1997";..
"Annen transport og lagring";"1998";..
"Annen transport og lagring";"1999";..
"Annen transport og lagring";"2000";..
"Annen transport og lagring";"2001";..
"Annen transport og lagring";"2002";..
"Annen transport og lagring";"2003";..
"Annen transport og lagring";"2004";..
"Annen transport og lagring";"2005";..
"Annen transport og lagring";"2006";..
"Annen transport og lagring";"2007";..
"Annen transport og lagring";"2008";913
"Annen transport og lagring";"2009";981
"Annen transport og lagring";"2010";1057
"Annen transport og lagring";"2011";1010
"Annen transport og lagring";"2012";1009
"Annen transport og lagring";"2013";1012
"Annen transport og lagring";"2014";993
"Annen transport og lagring";"2015";1083
"Annen transport og lagring";"2016";1161
"Annen transport og lagring";"2017";1170
"Annen transport og lagring";"2018";1219
"Annen transport og lagring";"2019";1200
"Annen transport og lagring";"2020";1258
"Annen transport og lagring";"2021";1363
"Annen transport og lagring";"2022";1364
"Annen transport og lagring";"2023";1422
"Post og distribusjonsvirksomhet";"1993";..
"Post og distribusjonsvirksomhet";"1994";..
"Post og distribusjonsvirksomhet";"1995";..
"Post og distribusjonsvirksomhet";"1996";..
"Post og distribusjonsvirksomhet";"1997";..
"Post og distribusjonsvirksomhet";"1998";..
"Post og distribusjonsvirksomhet";"1999";..
"Post og distribusjonsvirksomhet";"2000";..
"Post og distribusjonsvirksomhet";"2001";..
"Post og distribusjonsvirksomhet";"2002";..
"Post og distribusjonsvirksomhet";"2003";..
"Post og distribusjonsvirksomhet";"2004";..
"Post og distribusjonsvirksomhet";"2005";..
"Post og distribusjonsvirksomhet";"2006";..
"Post og distribusjonsvirksomhet";"2007";..
"Post og distribusjonsvirksomhet";"2008";152
"Post og distribusjonsvirksomhet";"2009";116
"Post og distribusjonsvirksomhet";"2010";120
"Post og distribusjonsvirksomhet";"2011";95
"Post og distribusjonsvirksomhet";"2012";87
"Post og distribusjonsvirksomhet";"2013";76
"Post og distribusjonsvirksomhet";"2014";70
"Post og distribusjonsvirksomhet";"2015";68
"Post og distribusjonsvirksomhet";"2016";67
"Post og distribusjonsvirksomhet";"2017";65
"Post og distribusjonsvirksomhet";"2018";66
"Post og distribusjonsvirksomhet";"2019";63
"Post og distribusjonsvirksomhet";"2020";56
"Post og distribusjonsvirksomhet";"2021";57
"Post og distribusjonsvirksomhet";"2022";55
"Post og distribusjonsvirksomhet";"2023";57
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1993";19557
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1994";20052
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1995";20298
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1996";20020
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1997";21181
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1998";22561
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"1999";22309
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2000";22910
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2001";24543
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2002";23995
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2003";22582
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2004";22286
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2005";23502
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2006";23481
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2007";24429
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2008";23988
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2009";24442
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2010";25765
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2011";24056
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2012";24957
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2013";24958
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2014";24101
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2015";24061
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2016";24722
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2017";24660
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2018";25277
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2019";24924
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2020";23962
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2021";25789
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2022";24814
"BYGG- OG ANLEGGSVIRKSOMHET OG ANNEN TJENESTEYTING";"2023";24860
"Bygge- og anleggsvirksomhet";"1993";..
"Bygge- og anleggsvirksomhet";"1994";..
"Bygge- og anleggsvirksomhet";"1995";..
"Bygge- og anleggsvirksomhet";"1996";..
"Bygge- og anleggsvirksomhet";"1997";..
"Bygge- og anleggsvirksomhet";"1998";..
"Bygge- og anleggsvirksomhet";"1999";..
"Bygge- og anleggsvirksomhet";"2000";..
"Bygge- og anleggsvirksomhet";"2001";..
"Bygge- og anleggsvirksomhet";"2002";..
"Bygge- og anleggsvirksomhet";"2003";..
"Bygge- og anleggsvirksomhet";"2004";..
"Bygge- og anleggsvirksomhet";"2005";..
"Bygge- og anleggsvirksomhet";"2006";..
"Bygge- og anleggsvirksomhet";"2007";..
"Bygge- og anleggsvirksomhet";"2008";1038
"Bygge- og anleggsvirksomhet";"2009";1073
"Bygge- og anleggsvirksomhet";"2010";1169
"Bygge- og anleggsvirksomhet";"2011";1117
"Bygge- og anleggsvirksomhet";"2012";1236
"Bygge- og anleggsvirksomhet";"2013";1277
"Bygge- og anleggsvirksomhet";"2014";1271
"Bygge- og anleggsvirksomhet";"2015";1309
"Bygge- og anleggsvirksomhet";"2016";1419
"Bygge- og anleggsvirksomhet";"2017";1511
"Bygge- og anleggsvirksomhet";"2018";1528
"Bygge- og anleggsvirksomhet";"2019";1506
"Bygge- og anleggsvirksomhet";"2020";1479
"Bygge- og anleggsvirksomhet";"2021";1639
"Bygge- og anleggsvirksomhet";"2022";1571
"Bygge- og anleggsvirksomhet";"2023";1578
"Varehandel, reparasjon og motorvogner";"1993";..
"Varehandel, reparasjon og motorvogner";"1994";..
"Varehandel, reparasjon og motorvogner";"1995";..
"Varehandel, reparasjon og motorvogner";"1996";..
"Varehandel, reparasjon og motorvogner";"1997";..
"Varehandel, reparasjon og motorvogner";"1998";..
"Varehandel, reparasjon og motorvogner";"1999";..
"Varehandel, reparasjon og motorvogner";"2000";..
"Varehandel, reparasjon og motorvogner";"2001";..
"Varehandel, reparasjon og motorvogner";"2002";..
"Varehandel, reparasjon og motorvogner";"2003";..
"Varehandel, reparasjon og motorvogner";"2004";..
"Varehandel, reparasjon og motorvogner";"2005";..
"Varehandel, reparasjon og motorvogner";"2006";..
"Varehandel, reparasjon og motorvogner";"2007";..
"Varehandel, reparasjon og motorvogner";"2008";4699
"Varehandel, reparasjon og motorvogner";"2009";4744
"Varehandel, reparasjon og motorvogner";"2010";4996
"Varehandel, reparasjon og motorvogner";"2011";4737
"Varehandel, reparasjon og motorvogner";"2012";4812
"Varehandel, reparasjon og motorvogner";"2013";4719
"Varehandel, reparasjon og motorvogner";"2014";4517
"Varehandel, reparasjon og motorvogner";"2015";4447
"Varehandel, reparasjon og motorvogner";"2016";4507
"Varehandel, reparasjon og motorvogner";"2017";4410
"Varehandel, reparasjon og motorvogner";"2018";4452
"Varehandel, reparasjon og motorvogner";"2019";4313
"Varehandel, reparasjon og motorvogner";"2020";4217
"Varehandel, reparasjon og motorvogner";"2021";4375
"Varehandel, reparasjon og motorvogner";"2022";4121
"Varehandel, reparasjon og motorvogner";"2023";4080
"Overnattings- og serveringsvirksomhet";"1993";1287
"Overnattings- og serveringsvirksomhet";"1994";1388
"Overnattings- og serveringsvirksomhet";"1995";1375
"Overnattings- og serveringsvirksomhet";"1996";1274
"Overnattings- og serveringsvirksomhet";"1997";1367
"Overnattings- og serveringsvirksomhet";"1998";1435
"Overnattings- og serveringsvirksomhet";"1999";1396
"Overnattings- og serveringsvirksomhet";"2000";1455
"Overnattings- og serveringsvirksomhet";"2001";1490
"Overnattings- og serveringsvirksomhet";"2002";1410
"Overnattings- og serveringsvirksomhet";"2003";1332
"Overnattings- og serveringsvirksomhet";"2004";1299
"Overnattings- og serveringsvirksomhet";"2005";1405
"Overnattings- og serveringsvirksomhet";"2006";1381
"Overnattings- og serveringsvirksomhet";"2007";1415
"Overnattings- og serveringsvirksomhet";"2008";1571
"Overnattings- og serveringsvirksomhet";"2009";1583
"Overnattings- og serveringsvirksomhet";"2010";1668
"Overnattings- og serveringsvirksomhet";"2011";1528
"Overnattings- og serveringsvirksomhet";"2012";1600
"Overnattings- og serveringsvirksomhet";"2013";1583
"Overnattings- og serveringsvirksomhet";"2014";1535
"Overnattings- og serveringsvirksomhet";"2015";1556
"Overnattings- og serveringsvirksomhet";"2016";1598
"Overnattings- og serveringsvirksomhet";"2017";1575
"Overnattings- og serveringsvirksomhet";"2018";1594
"Overnattings- og serveringsvirksomhet";"2019";1566
"Overnattings- og serveringsvirksomhet";"2020";1363
"Overnattings- og serveringsvirksomhet";"2021";1467
"Overnattings- og serveringsvirksomhet";"2022";1479
"Overnattings- og serveringsvirksomhet";"2023";1465
"Informasjon og kommunikasjon";"1993";..
"Informasjon og kommunikasjon";"1994";..
"Informasjon og kommunikasjon";"1995";..
"Informasjon og kommunikasjon";"1996";..
"Informasjon og kommunikasjon";"1997";..
"Informasjon og kommunikasjon";"1998";..
"Informasjon og kommunikasjon";"1999";..
"Informasjon og kommunikasjon";"2000";..
"Informasjon og kommunikasjon";"2001";..
"Informasjon og kommunikasjon";"2002";..
"Informasjon og kommunikasjon";"2003";..
"Informasjon og kommunikasjon";"2004";..
"Informasjon og kommunikasjon";"2005";..
"Informasjon og kommunikasjon";"2006";..
"Informasjon og kommunikasjon";"2007";..
"Informasjon og kommunikasjon";"2008";740
"Informasjon og kommunikasjon";"2009";784
"Informasjon og kommunikasjon";"2010";794
"Informasjon og kommunikasjon";"2011";754
"Informasjon og kommunikasjon";"2012";752
"Informasjon og kommunikasjon";"2013";752
"Informasjon og kommunikasjon";"2014";749
"Informasjon og kommunikasjon";"2015";753
"Informasjon og kommunikasjon";"2016";750
"Informasjon og kommunikasjon";"2017";764
"Informasjon og kommunikasjon";"2018";1185
"Informasjon og kommunikasjon";"2019";1281
"Informasjon og kommunikasjon";"2020";1235
"Informasjon og kommunikasjon";"2021";1687
"Informasjon og kommunikasjon";"2022";1961
"Informasjon og kommunikasjon";"2023";2143
"Finans, tjenesteyting, forsikring og pensjonskasser";"1993";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"1994";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"1995";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"1996";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"1997";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"1998";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"1999";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2000";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2001";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2002";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2003";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2004";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2005";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2006";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2007";..
"Finans, tjenesteyting, forsikring og pensjonskasser";"2008";455
"Finans, tjenesteyting, forsikring og pensjonskasser";"2009";450
"Finans, tjenesteyting, forsikring og pensjonskasser";"2010";410
"Finans, tjenesteyting, forsikring og pensjonskasser";"2011";353
"Finans, tjenesteyting, forsikring og pensjonskasser";"2012";340
"Finans, tjenesteyting, forsikring og pensjonskasser";"2013";311
"Finans, tjenesteyting, forsikring og pensjonskasser";"2014";295
"Finans, tjenesteyting, forsikring og pensjonskasser";"2015";281
"Finans, tjenesteyting, forsikring og pensjonskasser";"2016";264
"Finans, tjenesteyting, forsikring og pensjonskasser";"2017";223
