Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;05.1941;2,45;2,8
Region Norge;GR0;06.1941;7,67;8,68
Region Norge;GR0;07.1941;13,45;14,45
Region Norge;GR0;08.1941;9,79;9,86
Region Norge;GR0;09.1941;6,1;6,04
Region Norge;GR0;10.1941;-0,12;-0,46
Region Norge;GR0;11.1941;-2,56;-3,16
Region Norge;GR0;12.1941;-6,63;-7,56
Region Norge;GR0;01.1942;-13,13;-14,34
Region Norge;GR0;02.1942;-10,35;-11,23
Region Norge;GR0;03.1942;-8,67;-9,41
Region Norge;GR0;04.1942;-0,47;-0,82
Region Norge;GR0;05.1942;2,63;2,98
Region Norge;GR0;06.1942;6,61;7,61
Region Norge;GR0;07.1942;9,86;10,85
Region Norge;GR0;08.1942;10,19;10,27
Region Norge;GR0;09.1942;5,95;5,89
Region Norge;GR0;10.1942;1,24;0,91
Region Norge;GR0;11.1942;-1,74;-2,33
Region Norge;GR0;12.1942;-4,59;-5,51
Region Norge;GR0;01.1943;-8,65;-9,84
Region Norge;GR0;02.1943;-3,26;-4,09
Region Norge;GR0;03.1943;-1,69;-2,41
Region Norge;GR0;04.1943;-0,22;-0,57
Region Norge;GR0;05.1943;3,8;4,15
Region Norge;GR0;06.1943;8,26;9,26
Region Norge;GR0;07.1943;10,93;11,92
Region Norge;GR0;08.1943;9,15;9,23
Region Norge;GR0;09.1943;6,42;6,36
Region Norge;GR0;10.1943;3,17;2,84
Region Norge;GR0;11.1943;-2,32;-2,91
Region Norge;GR0;12.1943;-3,53;-4,46
Region Norge;GR0;01.1944;-4,97;-6,15
Region Norge;GR0;02.1944;-4,97;-5,82
Region Norge;GR0;03.1944;-4,79;-5,52
Region Norge;GR0;04.1944;-2,11;-2,47
Region Norge;GR0;05.1944;1,99;2,33
Region Norge;GR0;06.1944;6,66;7,65
Region Norge;GR0;07.1944;11,1;12,1
Region Norge;GR0;08.1944;10,64;10,73
Region Norge;GR0;09.1944;6,41;6,35
Region Norge;GR0;10.1944;3,33;3
Region Norge;GR0;11.1944;-2,82;-3,41
Region Norge;GR0;12.1944;-2,67;-3,59
Region Norge;GR0;01.1945;-9,25;-10,44
Region Norge;GR0;02.1945;-5,01;-5,86
Region Norge;GR0;03.1945;-2,37;-3,09
Region Norge;GR0;04.1945;0,68;0,33
Region Norge;GR0;05.1945;3,51;3,86
Region Norge;GR0;06.1945;7,49;8,49
Region Norge;GR0;07.1945;12,1;13,09
Region Norge;GR0;08.1945;12,13;12,22
Region Norge;GR0;09.1945;6,21;6,15
Region Norge;GR0;10.1945;1,2;0,87
Region Norge;GR0;11.1945;-2,64;-3,23
Region Norge;GR0;12.1945;-5,64;-6,56
Region Norge;GR0;01.1946;-5,51;-6,7
Region Norge;GR0;02.1946;-8,97;-9,83
Region Norge;GR0;03.1946;-5,2;-5,94
Region Norge;GR0;04.1946;0,45;0,1
Region Norge;GR0;05.1946;4,24;4,59
Region Norge;GR0;06.1946;7,72;8,72
Region Norge;GR0;07.1946;11,47;12,45
Region Norge;GR0;08.1946;10,62;10,68
Region Norge;GR0;09.1946;7,56;7,49
Region Norge;GR0;10.1946;1,2;0,86
Region Norge;GR0;11.1946;-2,05;-2,63
Region Norge;GR0;12.1946;-2,47;-3,39
Region Norge;GR0;01.1947;-5,9;-7,08
Region Norge;GR0;02.1947;-14,28;-15,18
Region Norge;GR0;03.1947;-8,82;-9,56
Region Norge;GR0;04.1947;-1,08;-1,44
Region Norge;GR0;05.1947;5,33;5,69
Region Norge;GR0;06.1947;9,44;10,45
Region Norge;GR0;07.1947;11,79;12,78
Region Norge;GR0;08.1947;12,47;12,56
Region Norge;GR0;09.1947;7,61;7,56
Region Norge;GR0;10.1947;1,45;1,12
Region Norge;GR0;11.1947;-4,79;-5,39
Region Norge;GR0;12.1947;-6,24;-7,17
Region Norge;GR0;01.1948;-10,17;-11,37
Region Norge;GR0;02.1948;-5,95;-6,81
Region Norge;GR0;03.1948;-2,02;-2,74
Region Norge;GR0;04.1948;1,29;0,94
Region Norge;GR0;05.1948;4,59;4,94
Region Norge;GR0;06.1948;7,22;8,23
Region Norge;GR0;07.1948;11,77;12,76
Region Norge;GR0;08.1948;9,17;9,25
Region Norge;GR0;09.1948;6,41;6,36
Region Norge;GR0;10.1948;0,53;0,2
Region Norge;GR0;11.1948;-1,86;-2,45
Region Norge;GR0;12.1948;-1,42;-2,33
Region Norge;GR0;01.1949;-3,71;-4,87
Region Norge;GR0;02.1949;-3,06;-3,91
Region Norge;GR0;03.1949;-4,96;-5,69
Region Norge;GR0;04.1949;0,02;-0,33
Region Norge;GR0;05.1949;4,1;4,46
Region Norge;GR0;06.1949;7,42;8,42
Region Norge;GR0;07.1949;9,94;10,94
Region Norge;GR0;08.1949;9,17;9,25
Region Norge;GR0;09.1949;8,98;8,93
Region Norge;GR0;10.1949;2,03;1,69
Region Norge;GR0;11.1949;-0,44;-1,02
Region Norge;GR0;12.1949;-4,62;-5,55
Region Norge;GR0;01.1950;-7,18;-8,37
Region Norge;GR0;02.1950;-6,18;-7,03
Region Norge;GR0;03.1950;-3;-3,73
Region Norge;GR0;04.1950;0,68;0,33
Region Norge;GR0;05.1950;3,87;4,23
Region Norge;GR0;06.1950;8,04;9,04
Region Norge;GR0;07.1950;10,37;11,35
Region Norge;GR0;08.1950;12,16;12,23
Region Norge;GR0;09.1950;6,64;6,58
Region Norge;GR0;10.1950;2,88;2,54
Region Norge;GR0;11.1950;-3,3;-3,9
Region Norge;GR0;12.1950;-6,7;-7,63
Region Norge;GR0;01.1951;-8,68;-9,88
Region Norge;GR0;02.1951;-5,93;-6,79
Region Norge;GR0;03.1951;-7,05;-7,79
Region Norge;GR0;04.1951;-1,22;-1,58
Region Norge;GR0;05.1951;2,42;2,77
Region Norge;GR0;06.1951;6,33;7,34
Region Norge;GR0;07.1951;8,6;9,59
Region Norge;GR0;08.1951;11,58;11,66
Region Norge;GR0;09.1951;7,27;7,22
Region Norge;GR0;10.1951;3,81;3,47
Region Norge;GR0;11.1951;-2,54;-3,12
Region Norge;GR0;12.1951;-2,82;-3,73
Region Norge;GR0;01.1952;-7,49;-8,68
Region Norge;GR0;02.1952;-6,09;-6,94
Region Norge;GR0;03.1952;-6,23;-6,97
Region Norge;GR0;04.1952;1,02;0,67
Region Norge;GR0;05.1952;3,91;4,26
Region Norge;GR0;06.1952;6,92;7,91
Region Norge;GR0;07.1952;9,63;10,62
Region Norge;GR0;08.1952;8,61;8,69
Region Norge;GR0;09.1952;4,13;4,06
Region Norge;GR0;10.1952;-0,04;-0,38
Region Norge;GR0;11.1952;-5,01;-5,61
Region Norge;GR0;12.1952;-7,05;-7,98
Region Norge;GR0;01.1953;-6,11;-7,29
Region Norge;GR0;02.1953;-8,71;-9,57
Region Norge;GR0;03.1953;-1,6;-2,31
Region Norge;GR0;04.1953;-0,23;-0,57
Region Norge;GR0;05.1953;3,78;4,14
Region Norge;GR0;06.1953;11,83;12,84
Region Norge;GR0;07.1953;10,74;11,72
Region Norge;GR0;08.1953;10,55;10,62
Region Norge;GR0;09.1953;6,02;5,96
Region Norge;GR0;10.1953;4,27;3,94
Region Norge;GR0;11.1953;0,37;-0,21
Region Norge;GR0;12.1953;-1,9;-2,82
Region Norge;GR0;01.1954;-7,32;-8,51
Region Norge;GR0;02.1954;-9,47;-10,35
Region Norge;GR0;03.1954;-3,92;-4,65
Region Norge;GR0;04.1954;-1;-1,36
Region Norge;GR0;05.1954;6,01;6,37
Region Norge;GR0;06.1954;7,36;8,36
Region Norge;GR0;07.1954;11;11,98
Region Norge;GR0;08.1954;10,17;10,24
Region Norge;GR0;09.1954;5,88;5,82
Region Norge;GR0;10.1954;0,88;0,55
Region Norge;GR0;11.1954;-2,55;-3,14
Region Norge;GR0;12.1954;-2,55;-3,46
Region Norge;GR0;01.1955;-6,97;-8,15
Region Norge;GR0;02.1955;-10,25;-11,12
Region Norge;GR0;03.1955;-6,41;-7,14
Region Norge;GR0;04.1955;-2,35;-2,71
Region Norge;GR0;05.1955;1,44;1,78
Region Norge;GR0;06.1955;5,88;6,88
Region Norge;GR0;07.1955;11,75;12,76
Region Norge;GR0;08.1955;11,96;12,06
Region Norge;GR0;09.1955;7,38;7,32
Region Norge;GR0;10.1955;0,53;0,2
Region Norge;GR0;11.1955;-2,75;-3,34
Region Norge;GR0;12.1955;-9,32;-10,25
Region Norge;GR0;01.1956;-8,43;-9,62
Region Norge;GR0;02.1956;-10,18;-11,05
Region Norge;GR0;03.1956;-4,26;-5
Region Norge;GR0;04.1956;-2,47;-2,82
Region Norge;GR0;05.1956;4,14;4,5
Region Norge;GR0;06.1956;7,14;8,14
Region Norge;GR0;07.1956;10,49;11,48
Region Norge;GR0;08.1956;8,51;8,58
Region Norge;GR0;09.1956;6,09;6,03
Region Norge;GR0;10.1956;1,06;0,72
Region Norge;GR0;11.1956;-4,33;-4,94
Region Norge;GR0;12.1956;-4,28;-5,21
Region Norge;GR0;01.1957;-3,94;-5,11
Region Norge;GR0;02.1957;-6,89;-7,75
Region Norge;GR0;03.1957;-4,58;-5,31
Region Norge;GR0;04.1957;-0,22;-0,57
Region Norge;GR0;05.1957;2,79;3,14
Region Norge;GR0;06.1957;6,14;7,14
Region Norge;GR0;07.1957;11,36;12,36
Region Norge;GR0;08.1957;9,97;10,05
Region Norge;GR0;09.1957;5,4;5,34
Region Norge;GR0;10.1957;1,95;1,61
Region Norge;GR0;11.1957;-1,65;-2,24
Region Norge;GR0;12.1957;-5,15;-6,07
Region Norge;GR0;01.1958;-8,37;-9,56
Region Norge;GR0;02.1958;-10,69;-11,57
Region Norge;GR0;03.1958;-8,77;-9,52
Region Norge;GR0;04.1958;-1,67;-2,03
Region Norge;GR0;05.1958;2,15;2,49
Region Norge;GR0;06.1958;7,58;8,59
Region Norge;GR0;07.1958;9,7;10,69
Region Norge;GR0;08.1958;10,6;10,68
Region Norge;GR0;09.1958;7,63;7,58
Region Norge;GR0;10.1958;3,66;3,32
Region Norge;GR0;11.1958;0,24;-0,35
Region Norge;GR0;12.1958;-7,42;-8,36
Region Norge;GR0;01.1959;-9,05;-10,24
Region Norge;GR0;02.1959;-3,55;-4,41
Region Norge;GR0;03.1959;-1,17;-1,9
Region Norge;GR0;04.1959;0,1;-0,25
Region Norge;GR0;05.1959;4,48;4,84
Region Norge;GR0;06.1959;8,14;9,14
Region Norge;GR0;07.1959;11,07;12,06
Region Norge;GR0;08.1959;11,21;11,29
Region Norge;GR0;09.1959;6,27;6,22
Region Norge;GR0;10.1959;2,54;2,2
Region Norge;GR0;11.1959;-0,3;-0,89
Region Norge;GR0;12.1959;-3,92;-4,84
Region Norge;GR0;01.1960;-8,47;-9,66
Region Norge;GR0;02.1960;-9,43;-10,3
Region Norge;GR0;03.1960;-2,65;-3,39
Region Norge;GR0;04.1960;0,5;0,14
Region Norge;GR0;05.1960;5,64;5,99
Region Norge;GR0;06.1960;8,77;9,78
Region Norge;GR0;07.1960;11,39;12,36
Region Norge;GR0;08.1960;11,08;11,15
Region Norge;GR0;09.1960;7,08;7,01
Region Norge;GR0;10.1960;-0,63;-0,97
Region Norge;GR0;11.1960;-3,15;-3,74
Region Norge;GR0;12.1960;-5,66;-6,59
Region Norge;GR0;01.1961;-7,2;-8,39
Region Norge;GR0;02.1961;-4,24;-5,09
Region Norge;GR0;03.1961;-2,13;-2,84
Region Norge;GR0;04.1961;-1,21;-1,56
Region Norge;GR0;05.1961;3,73;4,08
Region Norge;GR0;06.1961;8,5;9,51
Region Norge;GR0;07.1961;10,48;11,46
Region Norge;GR0;08.1961;9,69;9,76
Region Norge;GR0;09.1961;7,55;7,5
Region Norge;GR0;10.1961;5,6;5,27
Region Norge;GR0;11.1961;-0,67;-1,26
Region Norge;GR0;12.1961;-7,73;-8,67
Region Norge;GR0;01.1962;-6,01;-7,18
Region Norge;GR0;02.1962;-5,57;-6,42
Region Norge;GR0;03.1962;-9,34;-10,09
Region Norge;GR0;04.1962;-0,62;-0,98
Region Norge;GR0;05.1962;2,51;2,85
Region Norge;GR0;06.1962;5,98;6,98
Region Norge;GR0;07.1962;8,79;9,78
Region Norge;GR0;08.1962;8,65;8,72
Region Norge;GR0;09.1962;5,75;5,69
Region Norge;GR0;10.1962;2,73;2,4
Region Norge;GR0;11.1962;-2,79;-3,38
Region Norge;GR0;12.1962;-7,6;-8,54
Region Norge;GR0;01.1963;-9,26;-10,45
Region Norge;GR0;02.1963;-11;-11,88
Region Norge;GR0;03.1963;-6,53;-7,27
Region Norge;GR0;04.1963;-0,07;-0,42
Region Norge;GR0;05.1963;5,99;6,34
Region Norge;GR0;06.1963;8,79;9,8
Region Norge;GR0;07.1963;9,41;10,4
Region Norge;GR0;08.1963;11,05;11,12
Region Norge;GR0;09.1963;7,05;6,99
Region Norge;GR0;10.1963;2,78;2,45
Region Norge;GR0;11.1963;-3,1;-3,69
Region Norge;GR0;12.1963;-5,38;-6,31
Region Norge;GR0;01.1964;-3,3;-4,47
Region Norge;GR0;02.1964;-6,47;-7,33
Region Norge;GR0;03.1964;-4,18;-4,92
Region Norge;GR0;04.1964;-0,02;-0,37
Region Norge;GR0;05.1964;4,64;4,99
Region Norge;GR0;06.1964;6,52;7,52
Region Norge;GR0;07.1964;9,25;10,23
Region Norge;GR0;08.1964;9,34;9,41
Region Norge;GR0;09.1964;5,26;5,2
Region Norge;GR0;10.1964;2,73;2,39
Region Norge;GR0;11.1964;-2,41;-3
Region Norge;GR0;12.1964;-5,03;-5,96
Region Norge;GR0;01.1965;-6,86;-8,03
Region Norge;GR0;02.1965;-5,57;-6,41
Region Norge;GR0;03.1965;-5,92;-6,65
Region Norge;GR0;04.1965;0,1;-0,25
Region Norge;GR0;05.1965;2,26;2,61
Region Norge;GR0;06.1965;7,54;8,54
Region Norge;GR0;07.1965;8,27;9,26
Region Norge;GR0;08.1965;9,07;9,15
Region Norge;GR0;09.1965;7,57;7,51
Region Norge;GR0;10.1965;2,73;2,4
Region Norge;GR0;11.1965;-6,06;-6,67
Region Norge;GR0;12.1965;-10,24;-11,19
Region Norge;GR0;01.1966;-11,07;-12,27
Region Norge;GR0;02.1966;-13,32;-14,2
Region Norge;GR0;03.1966;-5,89;-6,61
Region Norge;GR0;04.1966;-3,57;-3,94
Region Norge;GR0;05.1966;2,76;3,12
Region Norge;GR0;06.1966;9,81;10,82
Region Norge;GR0;07.1966;10,27;11,25
Region Norge;GR0;08.1966;9,4;9,47
Region Norge;GR0;09.1966;4,74;4,69
Region Norge;GR0;10.1966;0,87;0,53
Region Norge;GR0;11.1966;-2,23;-2,82
Region Norge;GR0;12.1966;-5,31;-6,23
Region Norge;GR0;01.1967;-9,73;-10,93
Region Norge;GR0;02.1967;-5,11;-5,96
Region Norge;GR0;03.1967;-1,97;-2,69
Region Norge;GR0;04.1967;-0,97;-1,32
Region Norge;GR0;05.1967;3,4;3,73
Region Norge;GR0;06.1967;7,12;8,12
Region Norge;GR0;07.1967;9,62;10,6
Region Norge;GR0;08.1967;10,49;10,57
Region Norge;GR0;09.1967;7,73;7,67
Region Norge;GR0;10.1967;1,76;1,43
Region Norge;GR0;11.1967;0,52;-0,06
Region Norge;GR0;12.1967;-7,96;-8,9
Region Norge;GR0;01.1968;-9,65;-10,84
Region Norge;GR0;02.1968;-8,24;-9,1
Region Norge;GR0;03.1968;-4,28;-5
Region Norge;GR0;04.1968;-0,54;-0,89
Region Norge;GR0;05.1968;1,94;2,29
Region Norge;GR0;06.1968;8,18;9,19
Region Norge;GR0;07.1968;9,19;10,18
Region Norge;GR0;08.1968;10,09;10,18
Region Norge;GR0;09.1968;6,6;6,55
Region Norge;GR0;10.1968;-0,66;-0,99
Region Norge;GR0;11.1968;-4,91;-5,51
Region Norge;GR0;12.1968;-5;-5,93
Region Norge;GR0;01.1969;-6,38;-7,56
Region Norge;GR0;02.1969;-11,06;-11,94
Region Norge;GR0;03.1969;-7,19;-7,94
Region Norge;GR0;04.1969;-0,65;-1
Region Norge;GR0;05.1969;3,58;3,93
Region Norge;GR0;06.1969;9,6;10,61
Region Norge;GR0;07.1969;10,47;11,45
Region Norge;GR0;08.1969;13,02;13,1
Region Norge;GR0;09.1969;6,22;6,16
Region Norge;GR0;10.1969;3,02;2,69
Region Norge;GR0;11.1969;-5,41;-6,02
Region Norge;GR0;12.1969;-7,18;-8,12
Region Norge;GR0;01.1970;-9,27;-10,47
Region Norge;GR0;02.1970;-12,8;-13,68
Region Norge;GR0;03.1970;-5,12;-5,85
Region Norge;GR0;04.1970;-2,91;-3,28
Region Norge;GR0;05.1970;4,63;4,98
Region Norge;GR0;06.1970;10,64;11,65
Region Norge;GR0;07.1970;9,74;10,72
Region Norge;GR0;08.1970;11,1;11,18
Region Norge;GR0;09.1970;5,81;5,75
Region Norge;GR0;10.1970;2,2;1,86
Region Norge;GR0;11.1970;-4,65;-5,25
Region Norge;GR0;12.1970;-3,98;-4,9
Region Norge;GR0;01.1971;-5,29;-6,46
Region Norge;GR0;02.1971;-5,56;-6,4
Region Norge;GR0;03.1971;-6,82;-7,55
Region Norge;GR0;04.1971;-1,23;-1,58
Region Norge;GR0;05.1971;4,16;4,51
Region Norge;GR0;06.1971;7,4;8,4
Region Norge;GR0;07.1971;9,77;10,76
Region Norge;GR0;08.1971;10,02;10,09
Region Norge;GR0;09.1971;5,9;5,84
Region Norge;GR0;10.1971;1,56;1,23
Region Norge;GR0;11.1971;-5,15;-5,74
Region Norge;GR0;12.1971;-2,18;-3,09
Region Norge;GR0;01.1972;-7,34;-8,54
Region Norge;GR0;02.1972;-6,24;-7,1
Region Norge;GR0;03.1972;-3,22;-3,94
Region Norge;GR0;04.1972;-0,45;-0,81
Region Norge;GR0;05.1972;4,59;4,94
Region Norge;GR0;06.1972;9,28;10,27
Region Norge;GR0;07.1972;12,38;13,37
Region Norge;GR0;08.1972;10,16;10,23
Region Norge;GR0;09.1972;5,19;5,13
Region Norge;GR0;10.1972;2,15;1,82
Region Norge;GR0;11.1972;-2,93;-3,52
Region Norge;GR0;12.1972;-0,8;-1,71
Region Norge;GR0;01.1973;-2,17;-3,33
Region Norge;GR0;02.1973;-5,75;-6,59
Region Norge;GR0;03.1973;-1,59;-2,31
Region Norge;GR0;04.1973;-1,66;-2,02
Region Norge;GR0;05.1973;3,64;3,99
Region Norge;GR0;06.1973;8,36;9,36
Region Norge;GR0;07.1973;12,34;13,33
Region Norge;GR0;08.1973;9,1;9,18
Region Norge;GR0;09.1973;4,91;4,85
Region Norge;GR0;10.1973;-0,91;-1,25
Region Norge;GR0;11.1973;-5,43;-6,03
Region Norge;GR0;12.1973;-6,73;-7,65
Region Norge;GR0;01.1974;-2,6;-3,76
Region Norge;GR0;02.1974;-3,82;-4,66
Region Norge;GR0;03.1974;-2,83;-3,57
Region Norge;GR0;04.1974;0,97;0,62
Region Norge;GR0;05.1974;4,58;4,92
Region Norge;GR0;06.1974;8,67;9,66
Region Norge;GR0;07.1974;9,69;10,67
Region Norge;GR0;08.1974;10,07;10,15
Region Norge;GR0;09.1974;7,18;7,11
Region Norge;GR0;10.1974;0,77;0,44
Region Norge;GR0;11.1974;-3,03;-3,62
Region Norge;GR0;12.1974;-3,35;-4,27
Region Norge;GR0;01.1975;-3,91;-5,08
Region Norge;GR0;02.1975;-4,47;-5,32
Region Norge;GR0;03.1975;-3,11;-3,84
Region Norge;GR0;04.1975;-1,47;-1,83
Region Norge;GR0;05.1975;3,88;4,23
Region Norge;GR0;06.1975;6,37;7,38
Region Norge;GR0;07.1975;10,19;11,19
Region Norge;GR0;08.1975;11,07;11,16
Region Norge;GR0;09.1975;6,58;6,53
Region Norge;GR0;10.1975;2,35;2,01
Region Norge;GR0;11.1975;-0,88;-1,46
Region Norge;GR0;12.1975;-3,52;-4,42
Region Norge;GR0;01.1976;-9,05;-10,24
Region Norge;GR0;02.1976;-5,26;-6,12
Region Norge;GR0;03.1976;-6,07;-6,81
Region Norge;GR0;04.1976;-1,07;-1,42
Region Norge;GR0;05.1976;5,19;5,53
Region Norge;GR0;06.1976;7,63;8,63
Region Norge;GR0;07.1976;10,63;11,62
Region Norge;GR0;08.1976;10,9;10,98
Region Norge;GR0;09.1976;3,83;3,77
Region Norge;GR0;10.1976;1,01;0,67
Region Norge;GR0;11.1976;-2,73;-3,32
Region Norge;GR0;12.1976;-7,83;-8,77
Region Norge;GR0;01.1977;-8,56;-9,75
Region Norge;GR0;02.1977;-9,54;-10,42
Region Norge;GR0;03.1977;-3,48;-4,2
Region Norge;GR0;04.1977;-2,92;-3,27
Region Norge;GR0;05.1977;3,23;3,58
Region Norge;GR0;06.1977;6,98;7,98
Region Norge;GR0;07.1977;10,09;11,08
Region Norge;GR0;08.1977;10,16;10,24
Region Norge;GR0;09.1977;4,91;4,85
Region Norge;GR0;10.1977;2,72;2,38
Region Norge;GR0;11.1977;-2,09;-2,68
Region Norge;GR0;12.1977;-3,83;-4,75
Region Norge;GR0;01.1978;-6,76;-7,93
Region Norge;GR0;02.1978;-10,11;-10,97
Region Norge;GR0;03.1978;-5,07;-5,8
Region Norge;GR0;04.1978;-1,85;-2,21
Region Norge;GR0;05.1978;4,36;4,71
Region Norge;GR0;06.1978;8,88;9,89
Region Norge;GR0;07.1978;10,14;11,12
Region Norge;GR0;08.1978;9,95;10,03
Region Norge;GR0;09.1978;4,87;4,81
Region Norge;GR0;10.1978;1,73;1,4
Region Norge;GR0;11.1978;-1,74;-2,33
Region Norge;GR0;12.1978;-11,17;-12,13
Region Norge;GR0;01.1979;-11,4;-12,6
Region Norge;GR0;02.1979;-8,76;-9,63
Region Norge;GR0;03.1979;-4,36;-5,08
Region Norge;GR0;04.1979;-0,9;-1,26
Region Norge;GR0;05.1979;2,65;3
Region Norge;GR0;06.1979;8,69;9,7
Region Norge;GR0;07.1979;9,97;10,95
Region Norge;GR0;08.1979;9,8;9,87
Region Norge;GR0;09.1979;5,61;5,56
Region Norge;GR0;10.1979;0,59;0,25
Region Norge;GR0;11.1979;-3,37;-3,96
Region Norge;GR0;12.1979;-6,22;-7,16
Region Norge;GR0;01.1980;-9,4;-10,6
Region Norge;GR0;02.1980;-9,16;-10,04
Region Norge;GR0;03.1980;-6,09;-6,83
Region Norge;GR0;04.1980;0,45;0,1
Region Norge;GR0;05.1980;4,48;4,83
Region Norge;GR0;06.1980;9,92;10,92
Region Norge;GR0;07.1980;11,41;12,4
Region Norge;GR0;08.1980;10,69;10,76
Region Norge;GR0;09.1980;7,1;7,04
Region Norge;GR0;10.1980;-0,24;-0,58
Region Norge;GR0;11.1980;-6,17;-6,78
Region Norge;GR0;12.1980;-6,49;-7,42
Region Norge;GR0;01.1981;-7,73;-8,91
Region Norge;GR0;02.1981;-7,83;-8,69
Region Norge;GR0;03.1981;-7,21;-7,94
Region Norge;GR0;04.1981;-1,23;-1,58
Region Norge;GR0;05.1981;5,23;5,58
Region Norge;GR0;06.1981;5,85;6,85
Region Norge;GR0;07.1981;9,84;10,83
Region Norge;GR0;08.1981;9,38;9,46
Region Norge;GR0;09.1981;7,06;7
Region Norge;GR0;10.1981;1,2;0,86
Region Norge;GR0;11.1981;-3,77;-4,37
Region Norge;GR0;12.1981;-12,27;-13,22
Region Norge;GR0;01.1982;-9,44;-10,63
Region Norge;GR0;02.1982;-4,94;-5,8
Region Norge;GR0;03.1982;-2,37;-3,09
Region Norge;GR0;04.1982;-0,37;-0,72
Region Norge;GR0;05.1982;3,49;3,84
Region Norge;GR0;06.1982;6,23;7,24
Region Norge;GR0;07.1982;11,11;12,1
Region Norge;GR0;08.1982;10,47;10,55
Region Norge;GR0;09.1982;5,99;5,94
Region Norge;GR0;10.1982;2,23;1,89
Region Norge;GR0;11.1982;-1,87;-2,46
Region Norge;GR0;12.1982;-4,25;-5,18
Region Norge;GR0;01.1983;-3,75;-4,91
